Assignment 3: pandas

Average values for all species:
            petal_length  petal_width  sepal_length  sepal_width
species                                                         
setosa          1.486527     0.250725      4.999635     3.475225
versicolor      4.290690     1.345846      5.942616     2.761610
virginica       5.475172     1.988239      6.354953     3.001511

Median values for all species:
            petal_length  petal_width  sepal_length  sepal_width
species                                                         
setosa          1.464998     0.251564      4.977019     3.460304
versicolor      4.321910     1.372359      5.917317     2.747044
virginica       5.512922     1.954197      6.277034     3.019348

Standard deviation values for all species:
            petal_length  petal_width  sepal_length  sepal_width
species                                                         
setosa          0.207064     0.116201      0.323130     0.365322
versicolor      0.465222     0.185877      0.475391     0.385754
virginica       0.458861     0.242253      0.573233     0.325909

Correlation matrix for all variables:
              petal_length  petal_width  sepal_length  sepal_width
petal_length      1.000000     0.943467      0.752330    -0.515303
petal_width       0.943467     1.000000      0.738243    -0.459692
sepal_length      0.752330     0.738243      1.000000    -0.451782
sepal_width      -0.515303    -0.459692     -0.451782     1.000000

All values for versicolor:
           sample_id     species  petal_length  petal_width  sepal_length  sepal_width
95   HTkRCaD7EEG&r0y  virginica      5.699212     1.741614      7.123075     3.386529
97   Ss2wufGNBy5J0CC  virginica      4.799409     1.975306      7.345331     2.568048
99   cmcq6CbyKmVTud9  virginica      5.325596     2.064293      6.042647     3.303905
101  kp^foFC3Z1axniM  virginica      5.680877     2.331070      6.062756     3.174406
103  LMSSELt7DuSVsXB  virginica      5.049579     2.453721      6.618141     3.007292
106  lTdFg4sli3Pz8wj  virginica      6.248665     1.863559      6.650275     3.159767
108  lQCueDIqnAItdPv  virginica      5.398051     2.384345      6.689807     2.699263
110  P5sqfeJ4F8Dokdt  virginica      5.519732     1.699033      6.920229     3.011736
111  4FDEHair7AeL,rc  virginica      5.939851     1.899553      6.019144     2.920959
112  jj^HIXhCGHUrxDv  virginica      5.340195     1.543414      7.518594     2.107799
113  9G?aZNTm2KixCOp  virginica      5.644260     1.903659      6.991826     2.751810
117  x0mNn4FWnVCefRb  virginica      5.345515     1.859361      6.078405     2.997201
118  kzkn5q6TioixrLl  virginica      5.258998     1.562653      6.478159     3.035585
125  NXi3OMZ5eaoDQqy  virginica      5.708417     1.953477      6.065687     2.566642
126  tf3PjL7r2kawRnj  virginica      5.352663     1.897242      5.283382     3.120246
127  2PWZqV7Hy^bBUxG  virginica      5.794727     2.404539      6.991067     2.641208
128  Gma2dDDzpQIwUjr  virginica      5.384332     1.623563      6.091804     2.913723
130  VwfkCoD9NrrNWWN  virginica      5.424764     2.130797      6.307375     2.936684
133  EJDJtCKezUPePRJ  virginica      5.769456     2.095059      6.764409     3.050099
135  EntauMUpL1UxUot  virginica      5.760750     2.270828      6.385079     2.580850
140  efK7BDnlXr8uCsr  virginica      5.610081     2.127492      5.770217     2.905088
149  LJKQtCDGGuAeSd,  virginica      5.875653     2.036419      6.384305     2.604220

All values for setosa:
           sample_id species  petal_length  petal_width  sepal_length  sepal_width
3    0NqN8AaLZ8jelu^  setosa      1.434607     0.419694      4.036309     3.527450
5    otVBvvcynjp7UzN  setosa      1.506729     0.325962      5.401327     3.720574
7    ARwpVhHYWHt9wfY  setosa      1.614061     0.199143      4.903286     3.145444
8    F5F0rlPyu#7r6qZ  setosa      1.702897     0.095686      5.192556     3.526238
12   6LRAdYzEePbHx.v  setosa      1.325247     0.395094      5.092465     3.706573
13   VlZdQIneAs6HWnK  setosa      1.572766     0.124342      4.984532     3.473014
19   URnphXM&tofspVk  setosa      2.051838     0.438137      4.755796     3.493874
20   pNDDcwiseh3IIaO  setosa      1.465058     0.302960      4.793554     3.168449
22   RmyJiI6DvoSRs0h  setosa      1.674745     0.411758      4.679420     3.219741
32   KJyMLpvdNBdmLTR  setosa      1.713735     0.213645      4.820044     3.771176
33   .YMSQuwaWaPchGH  setosa      1.519535     0.122096      4.432467     3.195379
35   VeqxTj7HsOytlDc  setosa      1.386142     0.116933      4.963505     3.115015
46   ZcmFr4G9gwtUFpH  setosa      1.219058     0.189683      4.918015     4.122686
48   phLLoXMzigjOK01  setosa      1.385020    -0.003329      4.633569     3.535292
50   CtcfDpZzV.zUpU#  setosa      1.454252     0.135885      4.834725     3.222121
54   !bbMXD61MItc2AP  setosa      1.689766     0.244683      5.224875     2.897025
60   q#pD2AT3PSCsbXq  setosa      1.589088     0.349022      4.956150     2.820965
61   XcbgpAhaxcGF:TY  setosa      1.384609     0.291975      4.981946     3.906724
62   k1$h*pkrpRerFKW  setosa      1.418377     0.310781      4.924608     3.225930
67   KK9EaMpQsrECdpL  setosa      1.839654     0.104653      5.554717     3.584776
68   IFRBMj@rIwYkuUs  setosa      1.473164     0.160683      5.206872     3.373598
72   e5PXZ6N^x,fzIVp  setosa      1.516071     0.382429      5.250859     3.429666
73   BxP0GyckoyhXKHK  setosa      1.364865     0.398908      5.308589     4.129065
75   HBdZ73PxIebCJqb  setosa      1.434459     0.357316      5.628667     3.662640
76   qCESJwZSkwHLWHh  setosa      1.464939     0.314173      5.046988     3.269229
77   UxNgFG8eGUaTcxH  setosa      1.294256     0.270523      4.972092     3.866097
80   jucilB4DxLHmiIZ  setosa      0.944231     0.056531      4.766986     4.198154
82   MitzkxJCK4SkgVM  setosa      1.635750     0.235073      5.105746     3.447594
85   YSgDPqIzi12gdO1  setosa      1.409162     0.213610      5.190801     3.647280
86   iGHxuqbHuguAPn6  setosa      1.404618     0.045055      5.342463     2.736444
87   jKFXR9RopGauVrJ  setosa      1.049099     0.246879      4.699628     3.387364
88   5NrKknveI5GUjCh  setosa      1.796216     0.203324      4.571255     3.315270
91   UPVhwT9qrxvjLe.  setosa      1.438462     0.328564      4.840697     3.176982
92   NcDYKGLi76YN7IL  setosa      1.597941     0.443507      5.054490     3.377788
93   ePT1KDkgrbju23u  setosa      1.349277     0.291200      5.273548     3.841467
96   vfgAMrTcSf7HFRo  setosa      1.620168     0.500236      5.385517     3.763958
100  SMZl9NeOMPKfX1t  setosa      1.508840     0.095514      4.331676     4.057337
109  ZeRvOXuUJHOiLkh  setosa      1.631488     0.342742      5.370047     3.639837
115  Exh9hqtDXoq7Hfu  setosa      1.399054     0.279011      5.526611     3.995779
123  xckk*jnElcXwWrg  setosa      1.414573     0.192890      5.041188     4.038302
129  qccBEqaZanXdnZU  setosa      1.280417     0.264513      4.822291     3.617031
131  HTr0HkqaFx80QtX  setosa      1.697825     0.208418      4.779587     3.100231
132  Gr&g0FkDuaVhPRO  setosa      1.466874     0.287815      5.365664     3.924780
134  Vc98KtQDXFu6mpq  setosa      1.440864     0.259709      4.699599     2.956504
136  J4EZGDuAsshYBtq  setosa      1.339390     0.249925      5.362417     3.009538
138  pfQqM6uUambhJHJ  setosa      1.160223     0.140604      4.927126     3.716034
141  Dg6LkF#AscyVtqZ  setosa      1.585869     0.102380      5.317309     3.225617
144  XQMFvRW6GC0Fiyf  setosa      1.567989     0.238337      4.918166     3.191486
145  OdGVCXAogTKYlou  setosa      1.153406     0.253203      5.118126     3.092223
146  RfhQcCqkgElTdgQ  setosa      1.939653     0.384366      4.672874     3.195519

Species similarity from least to most similar:
versicolor and virginica: 2.479112049127052
setosa and versicolor: 5.555882069067318
setosa and virginica: 7.5551908330181945


Explanation of similarity calculation:
The similarity between species was calculated by comparing the average values of each variable (petal length, petal width, sepal length, and sepal width).
For each pair of species, the absolute differences in the average values of these variables were summed to get a similarity score.
The species pairs were then sorted from least similar (highest score) to most similar (lowest score).
